ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1966,3,81.48571428571428,128.59952380952382,-47.113809523809536,-36.63606841467976,0.98,El Nino fraco
1966,4,24.72285714285714,123.01209523809524,-98.2892380952381,-79.90209247716253,0.66,El Nino fraco
1966,5,71.1257142857143,149.96038095238094,-78.83466666666665,-52.570329687079244,0.35,neutro
1966,6,135.37714285714284,131.05228571428572,4.324857142857127,3.300100505141883,0.24,neutro
1966,7,63.71714285714285,105.8864761904762,-42.16933333333335,-39.825041733824555,0.24,neutro
1966,8,101.85142857142857,92.07361904761905,9.777809523809523,10.61955598677249,0.12,neutro
1966,9,93.6,147.04580952380954,-53.445809523809544,-36.34636695658821,-0.05,neutro
1966,10,352.48285714285714,193.30371428571428,159.17914285714286,82.34665507868448,-0.1,neutro
1966,11,85.81714285714285,153.6029523809524,-67.78580952380953,-44.130538165499054,-0.18,neutro
1966,12,207.54285714285714,185.4586666666667,22.084190476190457,11.907877303940387,-0.3,neutro
1967,1,358.18,165.94780952380952,192.23219047619048,115.83894420047152,-0.41,neutro
1967,2,260.7228571428571,165.61752380952382,95.10533333333328,57.42468015806927,-0.48,neutro
1967,3,197.51142857142855,128.59952380952382,68.91190476190474,53.58643851899027,-0.53,La Nina fraca
1967,4,23.98,123.01209523809524,-99.03209523809524,-80.5059819901566,-0.45,neutro
1967,5,10.719999999999999,149.96038095238094,-139.24038095238095,-92.85144520711502,-0.24,neutro
1967,6,49.19428571428571,131.05228571428572,-81.858,-62.46209255629705,-0.0,neutro
1967,7,96.92571428571429,105.8864761904762,-8.96076190476191,-8.462612249597056,0.05,neutro
1967,8,32.042857142857144,92.07361904761905,-60.0307619047619,-65.19865573407614,-0.16,neutro
1967,9,71.26857142857143,147.04580952380954,-75.7772380952381,-51.53308233715312,-0.3,neutro
1967,10,132.3457142857143,193.30371428571428,-60.95799999999997,-31.534831198277164,-0.38,neutro
1967,11,169.57428571428574,153.6029523809524,15.971333333333348,10.397803613645829,-0.34,neutro
1967,12,124.28,185.4586666666667,-61.178666666666686,-32.98776367061125,-0.44,neutro
1968,1,289.29714285714283,165.94780952380952,123.3493333333333,74.33019675721339,-0.64,La Nina fraca
